"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|NL","Without sequence","50.87","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|NL","Without sequence","48.19","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|NL","Without sequence","44.68","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|NL","Without sequence","42.92","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|NL","Without sequence","40.39","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|NL","Without sequence","40.2","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|NL","Without sequence","39.63","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|NL","Without sequence","40.09","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|NL","Without sequence","41.27","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|NL","Without sequence","44.88","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|NL","Without sequence","45.0","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|NL","Without sequence","47.2","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|NL","Without sequence","50.78","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|NL","Without sequence","45.49","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|NL","Without sequence","44.73","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|NL","Without sequence","46.59","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|NL","Without sequence","52.99","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|NL","Without sequence","60.26","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|NL","Without sequence","60.61","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|NL","Without sequence","60.36","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|NL","Without sequence","57.4","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|NL","Without sequence","53.86","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|NL","Without sequence","53.45","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|NL","Without sequence","49.72","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|NL","Without sequence","46.69","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|NL","Without sequence","42.43","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|NL","Without sequence","41.09","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|NL","Without sequence","40.0","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|NL","Without sequence","37.55","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|NL","Without sequence","39.0","",""
