"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|NL","Without sequence","124.7","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|NL","Without sequence","124.7","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|NL","Without sequence","134.0","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|NL","Without sequence","58.8","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|NL","Without sequence","37.67","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|NL","Without sequence","39.7","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|NL","Without sequence","40.59","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|NL","Without sequence","43.26","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|NL","Without sequence","49.66","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|NL","Without sequence","70.05","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|NL","Without sequence","76.79","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|NL","Without sequence","84.1","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|NL","Without sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|NL","Without sequence","96.8","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|NL","Without sequence","97.17","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|NL","Without sequence","101.27","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|NL","Without sequence","126.6","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|NL","Without sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|NL","Without sequence","146.33","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|NL","Without sequence","140.28","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|NL","Without sequence","121.88","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|NL","Without sequence","102.61","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|NL","Without sequence","97.46","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|NL","Without sequence","85.16","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|NL","Without sequence","57.08","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|NL","Without sequence","52.59","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|NL","Without sequence","48.97","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|NL","Without sequence","34.94","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|NL","Without sequence","29.56","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|NL","Without sequence","33.97","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|NL","Without sequence","34.52","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|NL","Without sequence","41.8","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|NL","Without sequence","48.95","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|NL","Without sequence","60.01","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|NL","Without sequence","70.09","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|NL","Without sequence","66.26","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|NL","Without sequence","64.54","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|NL","Without sequence","46.96","",""
